0.1676	0.251	0.1676	0.251	0.1676	0.251	0.1676	0.251	0.319	0.445	0.319	0.445	0.319	0.445	0.319	0.445	-0.319	-0.445	-0.319	-0.445	-0.319	-0.445	-0.319	-0.445	-0.1676	-0.251	-0.1676	-0.251	-0.1676	-0.251	-0.1676	-0.251
0.1676	0.251	0.319	0.445	-0.319	-0.445	-0.1676	-0.251	0.1676	0.251	0.319	0.445	-0.319	-0.445	-0.1676	-0.251	0.1676	0.251	0.319	0.445	-0.319	-0.445	-0.1676	-0.251	0.1676	0.251	0.319	0.445	-0.319	-0.445	-0.1676	-0.251
0.0283	0.5011	0.0283	0.5011	0.0283	0.5011	0.0283	0.5011	-0.0566	0.0246	-0.0566	0.0246	-0.0566	0.0246	-0.0566	0.0246	0.0566	-0.0246	0.0566	-0.0246	0.0566	-0.0246	0.0566	-0.0246	-0.0283	-0.5011	-0.0283	-0.5011	-0.0283	-0.5011	-0.0283	-0.5011
0.0283	0.5011	-0.0566	0.0246	0.0566	-0.0246	-0.0283	-0.5011	0.0283	0.5011	-0.0566	0.0246	0.0566	-0.0246	-0.0283	-0.5011	0.0283	0.5011	-0.0566	0.0246	0.0566	-0.0246	-0.0283	-0.5011	0.0283	0.5011	-0.0566	0.0246	0.0566	-0.0246	-0.0283	-0.5011
-0.4506	0.3382	-0.4506	0.3382	-0.4506	0.3382	-0.4506	0.3382	0.0525	0.003	0.0525	0.003	0.0525	0.003	0.0525	0.003	-0.0525	-0.003	-0.0525	-0.003	-0.0525	-0.003	-0.0525	-0.003	0.4506	-0.3382	0.4506	-0.3382	0.4506	-0.3382	0.4506	-0.3382
-0.4506	0.3382	0.0525	0.003	-0.0525	-0.003	0.4506	-0.3382	-0.4506	0.3382	0.0525	0.003	-0.0525	-0.003	0.4506	-0.3382	-0.4506	0.3382	0.0525	0.003	-0.0525	-0.003	0.4506	-0.3382	-0.4506	0.3382	0.0525	0.003	-0.0525	-0.003	0.4506	-0.3382
0.6048	0.1479	0.6048	0.1479	0.6048	0.1479	0.6048	0.1479	-0.4462	0.3659	-0.4462	0.3659	-0.4462	0.3659	-0.4462	0.3659	0.4462	-0.3659	0.4462	-0.3659	0.4462	-0.3659	0.4462	-0.3659	-0.6048	-0.1479	-0.6048	-0.1479	-0.6048	-0.1479	-0.6048	-0.1479
0.6048	0.1479	-0.4462	0.3659	0.4462	-0.3659	-0.6048	-0.1479	0.6048	0.1479	-0.4462	0.3659	0.4462	-0.3659	-0.6048	-0.1479	0.6048	0.1479	-0.4462	0.3659	0.4462	-0.3659	-0.6048	-0.1479	0.6048	0.1479	-0.4462	0.3659	0.4462	-0.3659	-0.6048	-0.1479
-0.1	0.4328	-0.1	0.4328	-0.1	0.4328	-0.1	0.4328	-0.1192	0.318	-0.1192	0.318	-0.1192	0.318	-0.1192	0.318	0.1192	-0.318	0.1192	-0.318	0.1192	-0.318	0.1192	-0.318	0.1	-0.4328	0.1	-0.4328	0.1	-0.4328	0.1	-0.4328
-0.1	0.4328	-0.1192	0.318	0.1192	-0.318	0.1	-0.4328	-0.1	0.4328	-0.1192	0.318	0.1192	-0.318	0.1	-0.4328	-0.1	0.4328	-0.1192	0.318	0.1192	-0.318	0.1	-0.4328	-0.1	0.4328	-0.1192	0.318	0.1192	-0.318	0.1	-0.4328
