-0.1732	0.1193	-0.1732	0.1193	0.1732	-0.1193	0.1732	-0.1193
-0.1732	0.1193	0.1732	-0.1193	-0.1732	0.1193	0.1732	-0.1193
0.1702	0.5196	0.1702	0.5196	-0.1702	-0.5196	-0.1702	-0.5196
0.1702	0.5196	-0.1702	-0.5196	0.1702	0.5196	-0.1702	-0.5196
-0.5438	0.1329	-0.5438	0.1329	0.5438	-0.1329	0.5438	-0.1329
-0.5438	0.1329	0.5438	-0.1329	-0.5438	0.1329	0.5438	-0.1329
-0.2139	0.3362	-0.2139	0.3362	0.2139	-0.3362	0.2139	-0.3362
-0.2139	0.3362	0.2139	-0.3362	-0.2139	0.3362	0.2139	-0.3362
-0.0252	0.4289	-0.0252	0.4289	0.0252	-0.4289	0.0252	-0.4289
-0.0252	0.4289	0.0252	-0.4289	-0.0252	0.4289	0.0252	-0.4289
